| niter |f evals|CG iter|  obj func   |tr radius |   opt    |  c viol  | penalty  |barrier param|CG stop|
|  64   |  948  |  220  | +8.9960e-07 | 8.46e+00 | 5.12e-05 | 0.00e+00 | 1.00e+00 |  4.00e-05   |   4   |
|  65   |  960  |  231  | +3.3264e-07 | 8.46e+00 | 1.40e-04 | 0.00e+00 | 1.00e+00 |  4.00e-05   |   1   |
|  66   |  972  |  232  | +3.2860e-07 | 8.46e+00 | 3.65e-05 | 0.00e+00 | 1.00e+00 |  4.00e-05   |   4   |
|  67   |  972  |  232  | +3.2860e-07 | 4.23e+01 | 3.57e-05 | 0.00e+00 | 1.00e+00 |  8.00e-06   |   0   |
|  68   |  984  |  243  | +1.2806e-07 | 4.23e+01 | 9.78e-05 | 0.00e+00 | 1.00e+00 |  8.00e-06   |   1   |
|  69   |  996  |  244  | +1.2605e-07 | 4.23e+01 | 1.76e-05 | 0.00e+00 | 1.00e+00 |  8.00e-06   |   4   |
|  70   | 1008  |  255  | +5.4957e-08 | 4.23e+01 | 9.86e-05 | 0.00e+00 | 1.00e+00 |  8.00e-06   |   1   |
|  71   | 1020  |  256  | +5.3043e-08 | 4.23e+01 | 1.30e-05 | 0.00e+00 | 1.00e+00 |  8.00e-06   |   4   |
|  72   | 1032  |  260  | +5.2779e-08 | 4.23e+01 | 5.20e-06 | 0.00e+00 | 1.00e+00 |  8.00e-06   |   4   |
|  73   | 1032  |  260  | +5.2779e-08 | 2.12e+02 | 5.59e-06 | 0.00e+00 | 1.00e+00 |  1.60e-06   |   0   |
|  74   | 1044  |  271  | +3.0869e-08 | 2.12e+02 | 3.95e-05 | 0.00e+00 | 1.00e+00 |  1.60e-06   |   1   |
|  75   | 1056  |  272  | +3.0540e-08 | 2.12e+02 | 6.68e-06 | 0.00e+00 | 1.00e+00 |  1.60e-06   |   4   |
|  76   | 1068  |  278  | +3.0255e-08 | 2.12e+02 | 3.88e-06 | 0.00e+00 | 1.00e+00 |  1.60e-06   |   4   |
